LUCKY MANUAL,0,Play after an attack that causes damage; it\nnow causes no damage and instead destroys a\npiece of equipment carried by the target. The\nGM picks which.\nGOOD THING MY GRENADE STOPPED THAT BULLET! WHY ARE YOU\nGUYS RUNNING?,25,t
UP HIGH,2,"Describe an elevated terrain feature (a lift, gantry,\nsome stairs and so on) thats useful to the action.\nGM has veto over your description. The feature adds\n+1 dice so long as the target uses it. If the GM is\nparticularly pleased by your description, it adds +2\ndice this round and +1 dice thereafter.\nID LIKE TO FORMALLY APOLOGISE TO EVERYONE I JUST VOMITED ON.",26,f
"MAN, AM I PLEASED TO SEE YOU",3,"Describe a male-identifying NPC whos useful to the\naction OR detrimental to the action, your choice;\nGM has veto over your description and controls the\nNPC after the end of the round. The NPC gives +1/-1\ndice so long as theyre useful/impeding. If the GM is\nparticularly pleased by your description, they give +2/-\n2 dice this round and +1/-1 dice thereafter.\nHEY, BUDDY, I NEED A HAND! OR A LEG. ANY LIMBS YOU HAVE\nSPARE, REALLY.",27,t
MISS IDENTIFIED,3,"Describe a female-identifying NPC whos useful to\nthe action OR detrimental to the action, your choice.\nGM has veto over your description and controls the\nNPC after the end of the round. The NPC gives +1/-1\ndice so long as theyre useful/impeding. If the GM is\nparticularly pleased by your description, they give +2/-\n2 dice this round and +1/-1 dice thereafter.\nWHATS A NICE GIRL LIKE YOU DOING POINTING A GRENADE AT ME\nLIKE THAT?",28,t
MISTAKEN IDENTITY,0,"As far as everyone (including the Computer) is\nconcerned, the target didnt perform that action;\nsomeone else did. Try to persuade your GM who\nyou want it to be and see if they listen to you.\nI DIDN T SHOOT ANYONE! IM NOT EVEN HERE!",29,t
MY LUCKY VENT,3,"Describe a convenient terrain feature (a crane, vent,\nsteam pipe and so on) thats useful to the action.\nGM has veto over your description. The feature adds\n+1 dice so long as the target uses it. If the GM is\nparticularly pleased by your description, it adds +2\ndice this round and +1 dice thereafter.\nI NEVER FIGURED OUT WHY THEY MADE AIR VENTS BIG ENOUGH FOR\nCLONES. THEY JUST HAVE TO BE BIG ENOUGH FOR AIR, RIGHT?",30,t
NOT SO HOT,0,Play after a target has rolled but before the\nGM describes the outcome. Delete 1 success\nroll from the targets total. Describe something\nunexpected that hindered them. GM has veto\nover your description.\nYOU GAVE IT YOUR BEST SHOT. NOW IM GIVING IT BACK.,31,t
OPPOSITE DAY,4,"Its not that everything goes wrong with the\naction, more that the exact opposite of what\nthe target wanted to happen happens instead.\nGM, get creative.\nWE CALL IT ""POLARITY HILARITY.""",32,t
PARTY TRICK,0,"You realise that this dangerous situation calls\nfor an unusual application of your skills.\nMake an attack but pick a non-standard Stat and Skill\ncombination then persuade the GM why theyre applicable in this\nparticular situation (GM, be lenient). If they buy it, you get +2 successes.\nIf they dont, -1 success.\nWHO KNEW THAT BUREAUCRATS COULD BE SO DEADLY WITH A PAPERCLIP?",33,t
RISKY TRICK,4,"Describe how the action becomes dangerous.\nYou get +2 dice to any action but for every 1\nrolled on a non-Computer dice, take 1 severity\nof wound. So on 1, youre Hurt. On 2, youre\nInjured and so on.\nLOOKS LIKE THIS JUST GOT DANGEROUS. DANGEROUSLY EFFECTIVE!\nTHOUGH MOSTLY JUST DANGEROUS.",34,t
RISKY TRICK,2,"Describe how the action becomes dangerous.\n+2 dice to any action but for every 1 rolled\non a non-Computer dice, take 1 severity of\nwound. So on 1, youre Hurt. On 2, youre\nInjured, and so on.\nI LL RISK IT FOR A BISCUIT. MAYBE TWO BISCUITS.",35,t
